strain	date	country	region	host	accession	isolates	authors
R-Sep-20-2-V1BA-1_MZ670984_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670984	R-Sep-20-2-V1BA-1	Osundahunsi et al.
R-Sep-20-2-V1BC-1_MZ670985_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670985	R-Sep-20-2-V1BC-1	Osundahunsi et al.
R-Sep-20-2-V1BB-1_MZ670986_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670986	R-Sep-20-2-V1BB-1	Osundahunsi et al.
R-Sep-20-2-V1BD-2_MZ670987_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670987	R-Sep-20-2-V1BD-2	Osundahunsi et al.
R-Sep-20-2-V2BC-1_MZ670988_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670988	R-Sep-20-2-V2BC-1	Osundahunsi et al.
R-Sep-20-2-V2BA-1_MZ670989_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670989	R-Sep-20-2-V2BA-1	Osundahunsi et al.
R-Sep-20-2-V2TA-1_MZ670990_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670990	R-Sep-20-2-V2TA-1	Osundahunsi et al.
R-Sep-20-2-V2TC-1_MZ670991_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670991	R-Sep-20-2-V2TC-1	Osundahunsi et al.
R-Sep-20-2-V2TD-1_MZ670992_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670992	R-Sep-20-2-V2TD-1	Osundahunsi et al.
R-Sep-20-2-V1TA-2_MZ670993_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670993	R-Sep-20-2-V1TA-2	Osundahunsi et al.
R-Sep-20-2-V1TD-2_MZ670994_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670994	R-Sep-20-2-V1TD-2	Osundahunsi et al.
R-Sep-20-2-V1TB-2_MZ670995_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670995	R-Sep-20-2-V1TB-2	Osundahunsi et al.
R-Sep-20-2-V1TC-1_MZ670996_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670996	R-Sep-20-2-V1TC-1	Osundahunsi et al.
R-Sep-20-2-V1BA-2_MZ670997_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670997	R-Sep-20-2-V1BA-2	Osundahunsi et al.
R-Sep-20-2-V1BC-2_MZ670998_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670998	R-Sep-20-2-V1BC-2	Osundahunsi et al.
R-Sep-20-2-V1BB-2_MZ670999_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670999	R-Sep-20-2-V1BB-2	Osundahunsi et al.
R-Sep-20-2-V1BD-3_MZ671000_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671000	R-Sep-20-2-V1BD-3	Osundahunsi et al.
R-Sep-20-2-V2BB-1_MZ671001_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ671001	R-Sep-20-2-V2BB-1	Osundahunsi et al.
