strain	date	country	region	host	accession	isolates	authors
N6-15_MZ695349_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-19	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695349	N6-15	Nkere et al.
N9-16_MZ695350_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-19	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695350	N9-16	Nkere et al.
N2-17_MZ695351_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-19	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695351	N2-17	Nkere et al.
N4-17_MZ695352_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-19	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695352	N4-17	Nkere et al.
N1-18*_MZ695353_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-19	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695353	N1-18*	Nkere et al.
N5-19_MZ695354_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695354	N5-19	Nkere et al.
N12-22_MZ695355_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695355	N12-22	Nkere et al.
N4-23_MZ695356_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695356	N4-23	Nkere et al.
N1-24_MZ695357_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695357	N1-24	Nkere et al.
N6-25_MZ695358_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695358	N6-25	Nkere et al.
N9-25_MZ695359_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695359	N9-25	Nkere et al.
N1-26_MZ695360_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695360	N1-26	Nkere et al.
N7-26_MZ695361_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-20	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695361	N7-26	Nkere et al.
N8-30_MZ695362_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695362	N8-30	Nkere et al.
N22-30_MZ695363_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695363	N22-30	Nkere et al.
N25-30_MZ695364_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695364	N25-30	Nkere et al.
N24-31_MZ695365_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695365	N24-31	Nkere et al.
N4-32*_MZ695366_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695366	N4-32*	Nkere et al.
N1-33*_MZ695367_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695367	N1-33*	Nkere et al.
N7-33_MZ695368_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695368	N7-33	Nkere et al.
N3-34_MZ695369_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-21	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695369	N3-34	Nkere et al.
N6-35_MZ695370_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-22	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695370	N6-35	Nkere et al.
N4-36_MZ695371_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-22	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695371	N4-36	Nkere et al.
N3-37_MZ695372_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-22	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695372	N3-37	Nkere et al.
N5-38_MZ695373_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695373	N5-38	Nkere et al.
N8-40_MZ695374_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695374	N8-40	Nkere et al.
N12-40_MZ695375_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695375	N12-40	Nkere et al.
N19-40_MZ695376_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695376	N19-40	Nkere et al.
N24-40_MZ695377_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695377	N24-40	Nkere et al.
N1-41_MZ695378_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-24	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695378	N1-41	Nkere et al.
N6-41_MZ695379_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-24	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695379	N6-41	Nkere et al.
N3-21_MZ695380_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-24	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695380	N3-21	Nkere et al.
N18-3_MZ695381_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695381	N18-3	Nkere et al.
N21-3_MZ695382_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695382	N21-3	Nkere et al.
N63-7_MZ695383_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695383	N63-7	Nkere et al.
N131-12_MZ695384_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-02	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695384	N131-12	Nkere et al.
N294-26_MZ695385_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-02	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695385	N294-26	Nkere et al.
N299-26_MZ695386_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-02	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695386	N299-26	Nkere et al.
N300-26_MZ695387_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-02	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695387	N300-26	Nkere et al.
N301-26_MZ695388_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-02	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695388	N301-26	Nkere et al.
N323-29_MZ695389_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695389	N323-29	Nkere et al.
N344-31_MZ695390_Dioscorea-esculenta_Nigeria_2012	2012-11-03	Nigeria	Africa	Dioscorea esculenta	MZ695390	N344-31	Nkere et al.
N354-31a_MZ695391_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695391	N354-31a	Nkere et al.
N354-31b_MZ695392_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2012	2012-11-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695392	N354-31b	Nkere et al.
N375-34_MZ695393_Dioscorea-cayenensis_Nigeria_2012	2012-11-04	Nigeria	Africa	Dioscorea cayenensis	MZ695393	N375-34	Nkere et al.
N376-34_MZ695394_Dioscorea-cayenensis_Nigeria_2012	2012-11-04	Nigeria	Africa	Dioscorea cayenensis	MZ695394	N376-34	Nkere et al.
G11-1_MZ695395_Dioscorea-cayenensis_Ghana_2013	2013-08-03	Ghana	Africa	Dioscorea cayenensis	MZ695395	G11-1	Nkere et al.
G40-1_MZ695396_Dioscorea-alata_Ghana_2013	2013-08-03	Ghana	Africa	Dioscorea alata	MZ695396	G40-1	Nkere et al.
G5-2_MZ695397_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-03	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695397	G5-2	Nkere et al.
G20-2_MZ695398_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-03	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695398	G20-2	Nkere et al.
G21-2_MZ695399_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-03	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695399	G21-2	Nkere et al.
G3-3_MZ695400_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695400	G3-3	Nkere et al.
G4-3_MZ695401_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695401	G4-3	Nkere et al.
G8-3_MZ695402_Dioscorea-alata_Ghana_2013	2013-08-04	Ghana	Africa	Dioscorea alata	MZ695402	G8-3	Nkere et al.
G2-4_MZ695403_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695403	G2-4	Nkere et al.
G5-5_MZ695404_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695404	G5-5	Nkere et al.
G15-6_MZ695405_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695405	G15-6	Nkere et al.
G17-6_MZ695406_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695406	G17-6	Nkere et al.
G8-10_MZ695407_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695407	G8-10	Nkere et al.
G1-11_MZ695408_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695408	G1-11	Nkere et al.
G4-11_MZ695409_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695409	G4-11	Nkere et al.
G4-12_MZ695410_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695410	G4-12	Nkere et al.
G2-13_MZ695411_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695411	G2-13	Nkere et al.
G3-13_MZ695412_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695412	G3-13	Nkere et al.
G15-16_MZ695413_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695413	G15-16	Nkere et al.
G2-17_MZ695414_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695414	G2-17	Nkere et al.
G3-17_MZ695415_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695415	G3-17	Nkere et al.
G4-18_MZ695416_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695416	G4-18	Nkere et al.
G5-18_MZ695417_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695417	G5-18	Nkere et al.
G2-19_MZ695418_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-07	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695418	G2-19	Nkere et al.
G6-19_MZ695419_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-08	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695419	G6-19	Nkere et al.
G1-20_MZ695420_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-08	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695420	G1-20	Nkere et al.
G5-20_MZ695421_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-08	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695421	G5-20	Nkere et al.
G9-21_MZ695422_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-08	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695422	G9-21	Nkere et al.
G1-22_MZ695423_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-08	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695423	G1-22	Nkere et al.
G10-22_MZ695424_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-09	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695424	G10-22	Nkere et al.
G1-23_MZ695425_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-09	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695425	G1-23	Nkere et al.
G5-25_MZ695426_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-09	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695426	G5-25	Nkere et al.
G2-26_MZ695427_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-09	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695427	G2-26	Nkere et al.
G4-27_MZ695428_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-09	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695428	G4-27	Nkere et al.
G5-27_MZ695429_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-10	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695429	G5-27	Nkere et al.
G1-28_MZ695430_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-10	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695430	G1-28	Nkere et al.
G4-28_MZ695431_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-10	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695431	G4-28	Nkere et al.
G5-29_MZ695432_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-10	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695432	G5-29	Nkere et al.
G8-31_MZ695433_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-11	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695433	G8-31	Nkere et al.
G1-32_MZ695434_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-11	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695434	G1-32	Nkere et al.
G2-33_MZ695435_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-11	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695435	G2-33	Nkere et al.
G8-33_MZ695436_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-12	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695436	G8-33	Nkere et al.
G25-33_MZ695437_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-12	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695437	G25-33	Nkere et al.
G1-34_MZ695438_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2013	2013-08-12	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695438	G1-34	Nkere et al.
G10-1_MZ695439_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695439	G10-1	Nkere et al.
G14-2_MZ695440_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-04	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695440	G14-2	Nkere et al.
G16-2_MZ695441_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695441	G16-2	Nkere et al.
G31-2_MZ695442_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695442	G31-2	Nkere et al.
G46-5_MZ695443_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695443	G46-5	Nkere et al.
G66-8_MZ695444_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-05	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695444	G66-8	Nkere et al.
G153-18_MZ695445_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695445	G153-18	Nkere et al.
G220-25_MZ695446_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695446	G220-25	Nkere et al.
G267-31_MZ695447_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695447	G267-31	Nkere et al.
G84-10_MZ695448_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2012	2012-10-06	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	MZ695448	G84-10	Nkere et al.
YMVAy_MT591036_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591036	YMVAy	Oyekanmi et al.
YMVBy_MT591037_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591037	YMVBy	Oyekanmi et al.
YMVCy_MT591038_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591038	YMVCy	Oyekanmi et al.
YMVDy_MT591039_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591039	YMVDy	Oyekanmi et al.
YMVFy_MT591040_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591040	YMVFy	Oyekanmi et al.
YMVGy_MT591041_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591041	YMVGy	Oyekanmi et al.
YMVHy_MT591042_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591042	YMVHy	Oyekanmi et al.
YMVIy_MT591043_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591043	YMVIy	Oyekanmi et al.
YMVJy_MT591044_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591044	YMVJy	Oyekanmi et al.
YMVKy_MT591045_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591045	YMVKy	Oyekanmi et al.
YMVLy_MT591046_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591046	YMVLy	Oyekanmi et al.
YMVMy_MT591047_Dioscorea-alata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea alata	MT591047	YMVMy	Oyekanmi et al.
YMVNy_MT591048_Dioscorea-alata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea alata	MT591048	YMVNy	Oyekanmi et al.
YMVQy_MT591049_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591049	YMVQy	Oyekanmi et al.
Yoo421_MT591050_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-06-28	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591050	Yoo421	Oyekanmi et al.
Yoju_MT591051_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591051	Yoju	Oyekanmi et al.
Yoooo2_MT591052_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591052	Yoooo2	Oyekanmi et al.
Yo2665_MT591053_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591053	Yo2665	Oyekanmi et al.
Yo2607_MT591054_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591054	Yo2607	Oyekanmi et al.
Yooo34_MT591055_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591055	Yooo34	Oyekanmi et al.
Yoo497_MT591056_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591056	Yoo497	Oyekanmi et al.
YMVANb_MT591057_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591057	YMVANb	Oyekanmi et al.
YMVBNb_MT591058_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591058	YMVBNb	Oyekanmi et al.
YMVCNb_MT591059_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591059	YMVCNb	Oyekanmi et al.
YMVDNb_MT591060_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591060	YMVDNb	Oyekanmi et al.
YMVGNb_MT591061_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591061	YMVGNb	Oyekanmi et al.
YMVFNb_MT591062_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591062	YMVFNb	Oyekanmi et al.
YMVHNb_MT591063_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591063	YMVHNb	Oyekanmi et al.
YMVJNb_MT591064_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591064	YMVJNb	Oyekanmi et al.
YMVKNb_MT591065_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591065	YMVKNb	Oyekanmi et al.
YMVLNb_MT591066_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591066	YMVLNb	Oyekanmi et al.
YMVMNb_MT591067_Dioscorea-alata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea alata	MT591067	YMVMNb	Oyekanmi et al.
YMVNNb_MT591068_Dioscorea-alata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea alata	MT591068	YMVNNb	Oyekanmi et al.
YMVQNb_MT591069_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-07-10	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591069	YMVQNb	Oyekanmi et al.
Nb0421_MT591070_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591070	Nb0421	Oyekanmi et al.
NbOju_MT591071_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591071	NbOju	Oyekanmi et al.
Nb0002_MT591072_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591072	Nb0002	Oyekanmi et al.
NbDanc_MT591073_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591073	NbDanc	Oyekanmi et al.
Nb0034_MT591074_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591074	Nb0034	Oyekanmi et al.
Nb0497_MT591075_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591075	Nb0497	Oyekanmi et al.
Dan313_MT591076_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591076	Dan313	Oyekanmi et al.
Dan42_MT591077_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2017	2017-08-30	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MT591077	Dan42	Oyekanmi et al.
