Name;Accession;Organism;collection_date;country;host;strain
YMVcp-WH201b;MT501358.1;Yam mosaic virus;2016-11-01;Cameroon: Mankon;Dioscorea cayenensis;YMVcp-WH201b
Au-Sc2-17-1;MT501399.1;Yam mosaic virus;2017-01-01;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-17-1
Fk-Sc2-17-2;MT501400.1;Yam mosaic virus;2017-01-01;Nigeria: Faketsa, Ibadan;Dioscorea cayenensis subsp. rotundata;Fk-Sc2-17-2
Las-Sc3-17-1;MT501401.1;Yam mosaic virus;2017-01-02;Nigeria: Lasiri, Ibadan;Dioscorea cayenensis subsp. rotundata;Las-Sc3-17-1
Am-Sc3-17-1;MT501402.1;Yam mosaic virus;2017-01-03;Nigeria: Ame, Ibadan;Dioscorea cayenensis subsp. rotundata;Am-Sc3-17-1
Au-Sc2-17-2;MT501403.1;Yam mosaic virus;2017-01-04;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-17-2
AL-Sc2-17-1;MT501404.1;Yam mosaic virus;2017-01-05;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;AL-Sc2-17-1
Las-Sc2-17-1;MT501405.1;Yam mosaic virus;2017-01-06;Nigeria: Lasiri, Ibadan;Dioscorea cayenensis subsp. rotundata;Las-Sc2-17-1
Au-Sc3-17-1;MT501406.1;Yam mosaic virus;2017-01-07;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc3-17-1
Am-Sc2-17-1;MT501407.1;Yam mosaic virus;2017-01-08;Nigeria: Ame, Ibadan;Dioscorea cayenensis subsp. rotundata;Am-Sc2-17-1
Ek-Sc2-17-1;MT501408.1;Yam mosaic virus;2017-01-09;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;Ek-Sc2-17-1
Au-Sc3-17-2;MT501409.1;Yam mosaic virus;2017-01-10;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc3-17-2
Las-Sc3-17-2;MT501410.1;Yam mosaic virus;2017-01-11;Nigeria: Lasiri, Ibadan;Dioscorea cayenensis subsp. rotundata;Las-Sc3-17-2
Hem-Sc3-17-1;MT501411.1;Yam mosaic virus;2017-01-12;Nigeria: Hembakwase, Ibadan;Dioscorea cayenensis subsp. rotundata;Hem-Sc3-17-1
Al-Sc3-17-1;MT501412.1;Yam mosaic virus;2017-01-13;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;Al-Sc3-17-1
Ak-Sc3-17-1;MT501413.1;Yam mosaic virus;2017-01-14;Nigeria: Adaka, Ibadan;Dioscorea cayenensis subsp. rotundata;Ak-Sc3-17-1
Al-Sc2-17-2;MT501414.1;Yam mosaic virus;2017-01-15;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;Al-Sc2-17-2
Mk-Sc3-17-2;MT501415.1;Yam mosaic virus;2017-01-16;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc3-17-2
Mk-Sc2-17-1;MT501416.1;Yam mosaic virus;2017-01-17;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc2-17-1
Las-Sc3-17-3;MT501417.1;Yam mosaic virus;2017-01-18;Nigeria: Lasiri, Ibadan;Dioscorea cayenensis subsp. rotundata;Las-Sc3-17-3
Mk-Sc2-17-2;MT501418.1;Yam mosaic virus;2017-01-19;Nigeria: Meccakusa, Ibadan;Dioscorea cayenensis subsp. rotundata;Mk-Sc2-17-2
Dr-Sc3-17-1;MT501419.1;Yam mosaic virus;2017-01-20;Nigeria: Daribokor, Ibadan;Dioscorea cayenensis subsp. rotundata;Dr-Sc3-17-1
Ek-Sc2-17-2;MT501420.1;Yam mosaic virus;2017-01-21;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;Ek-Sc2-17-2
Ek-Sc3-17-2;MT501421.1;Yam mosaic virus;2017-01-22;Nigeria: Ekpe, Ibadan;Dioscorea cayenensis subsp. rotundata;Ek-Sc3-17-2
AL-Sc2-17-3;MT501422.1;Yam mosaic virus;2017-01-23;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;AL-Sc2-17-3
Hem-Sc2-17-2;MT501423.1;Yam mosaic virus;2017-01-24;Nigeria: Hembakwase, Ibadan;Dioscorea cayenensis subsp. rotundata;Hem-Sc2-17-2
Hem-Sc2-17-3;MT501424.1;Yam mosaic virus;2017-01-25;Nigeria: Hembakwase, Ibadan;Dioscorea cayenensis subsp. rotundata;Hem-Sc2-17-3
AL-Sc2-18-1;MT501425.1;Yam mosaic virus;2017-01-26;Nigeria: Aloshi, Ibadan;Dioscorea cayenensis subsp. rotundata;AL-Sc2-18-1
Au-Sc2-18-2;MT501426.1;Yam mosaic virus;2017-01-27;Nigeria: Alumaco, Ibadan;Dioscorea cayenensis subsp. rotundata;Au-Sc2-18-2
Fk-Sc2-18-1;MT501427.1;Yam mosaic virus;2017-01-28;Nigeria: Faketsa, Ibadan;Dioscorea cayenensis subsp. rotundata;Fk-Sc2-18-1
